date,campaign_id,campaign_name,installs,d1_revenue,d7_revenue
2025-10-07,FB-100000,UA - Retargeting - Value | Android | US | Carousel,69,268.8,1265.78
2025-10-07,FB-100001,UA - Prospecting - Broad | Android | EU | Video,64,274.45,1346.45
2025-10-07,FB-100002,UA - Prospecting - Broad | iOS | US | Video,178,696.51,3816.87
2025-10-07,FB-100003,UA - Prospecting - Broad | Android | EU | Playables,116,360.03,1867.12
2025-10-07,FB-100004,UA - Retargeting - Value | Android | MENA | UGC,45,128.41,714.47
2025-10-07,FB-100005,UA - Prospecting - Broad | iOS | MENA | Carousel,46,123.76,437.37
2025-10-07,FB-100006,UA - Lookalike - 1% | Android | APAC | Carousel,53,118.78,611.84
2025-10-07,FB-100007,UA - Prospecting - Broad | Android | EU | Carousel,60,246.71,803.78
2025-10-07,FB-100008,UA - Lookalike - 1% | Android | APAC | Video,102,342.14,1084.93
2025-10-07,FB-100009,UA - Prospecting - Broad | iOS | MENA | Carousel,29,84.86,413.35
2025-10-07,FB-100010,UA - Lookalike - 5% | iOS | MENA | Video,159,436.66,2106.88
2025-10-07,FB-100011,UA - Lookalike - 1% | Android | MENA | Carousel,85,279.58,1012.08
2025-10-07,FB-100012,UA - Retargeting - Value | Android | US | Video,10,50.02,225.79
2025-10-07,FB-100013,UA - Prospecting - Broad | iOS | US | Static,33,150.73,751.24
2025-10-07,FB-100014,UA - Lookalike - 1% | iOS | LATAM | UGC,20,50.48,197.02
2025-10-07,FB-100015,UA - Retargeting - Value | Android | LATAM | Carousel,58,222.88,987.8
2025-10-07,FB-100016,UA - Retargeting - Value | iOS | US | Playables,1,5.6,33.6
2025-10-07,FB-100017,UA - Lookalike - 5% | Android | EU | UGC,133,445.18,1783.39
2025-10-07,FB-100018,UA - Lookalike - 1% | iOS | MENA | Static,14,62.28,211.0
2025-10-07,FB-100019,UA - Lookalike - 1% | Android | EU | Video,76,287.76,1086.29
2025-10-07,FB-100020,UA - Retargeting - Value | iOS | LATAM | Video,12,53.7,222.21
2025-10-07,FB-100021,UA - Lookalike - 5% | iOS | EU | UGC,56,183.37,555.24
2025-10-07,FB-100022,UA - Retargeting - Value | iOS | EU | Carousel,18,94.49,566.94
2025-10-07,FB-100023,UA - Lookalike - 1% | Android | MENA | Playables,166,474.53,2045.22
2025-10-07,FB-100024,UA - Lookalike - 1% | iOS | MENA | UGC,70,295.31,1009.07
2025-10-07,FB-100025,UA - Lookalike - 5% | Android | EU | Playables,258,704.52,3418.33
2025-10-07,FB-100026,UA - Retargeting - Value | Android | US | Video,20,72.16,432.96
2025-10-07,FB-100027,UA - Prospecting - Broad | Android | APAC | Playables,47,115.1,416.78
2025-10-07,FB-100028,UA - Lookalike - 5% | iOS | APAC | Playables,52,135.48,482.04
2025-10-07,FB-100029,UA - Prospecting - Broad | iOS | MENA | Video,38,160.82,793.49
2025-10-07,FB-100030,UA - Lookalike - 1% | iOS | LATAM | Video,46,183.04,660.04
