"ad_date","source","campaign_id","campaign_name","total_impressions","total_clicks","total_spend","total_installs","total_d1_revenue","total_d7_revenue"
"2025-10-07",Facebook Ads,FB-100237,UA - Lookalike - 5% | iOS | US | Video,28744,1400,706.1600,127,609.12,3168.64
"2025-10-07",Facebook Ads,FB-100231,UA - Lookalike - 5% | iOS | US | Static,26020,1220,620.4900,132,497.02,2471.18
"2025-10-07",Facebook Ads,FB-100304,UA - Lookalike - 1% | Android | LATAM | Playables,26709,1333,588.2500,238,518.89,2117.07
"2025-10-07",Facebook Ads,FB-100192,UA - Lookalike - 1% | Android | EU | Carousel,33661,1311,581.8200,199,582.17,1800.07
"2025-10-07",Facebook Ads,FB-100150,UA - Lookalike - 5% | Android | LATAM | Playables,34062,1611,575.9300,132,291.34,1352.98
"2025-10-07",Facebook Ads,FB-100163,UA - Lookalike - 1% | iOS | LATAM | Carousel,35002,1317,555.1200,84,242.51,999.63
"2025-10-07",Facebook Ads,FB-100025,UA - Lookalike - 5% | Android | EU | Playables,51086,1262,545.1800,258,704.52,3418.33
"2025-10-07",Facebook Ads,FB-100055,UA - Lookalike - 5% | iOS | EU | Carousel,30220,1140,525.5400,102,334.99,1799.23
"2025-10-07",Facebook Ads,FB-100217,UA - Lookalike - 5% | Android | EU | Video,36352,1342,514.7900,289,840.24,3680.25
"2025-10-07",Facebook Ads,FB-100041,UA - Lookalike - 1% | Android | MENA | Static,27872,1152,507.4600,128,332.51,1679.18
"2025-10-07",Facebook Ads,FB-100034,UA - Prospecting - Broad | Android | LATAM | Static,25883,1134,501.0000,70,146.15,523.07
"2025-10-07",Facebook Ads,FB-100169,UA - Lookalike - 1% | iOS | MENA | Playables,25772,1250,481.8800,138,552.59,2554.62
"2025-10-07",Facebook Ads,FB-100339,UA - Prospecting - Broad | Android | MENA | Static,27396,1147,480.2500,208,550.8,2545.25
"2025-10-07",Facebook Ads,FB-100115,UA - Prospecting - Broad | Android | EU | UGC,23607,1026,479.7600,173,438.69,1320.46
"2025-10-07",Facebook Ads,FB-100253,UA - Lookalike - 1% | Android | EU | Playables,31658,1343,478.5100,163,685.97,2272.62
"2025-10-07",Facebook Ads,FB-100346,UA - Lookalike - 5% | Android | US | Playables,40810,1156,449.2200,211,605.51,1900.09
"2025-10-07",Facebook Ads,FB-100313,UA - Lookalike - 5% | Android | MENA | Static,33528,1425,448.3100,232,786.5,3673.74
"2025-10-07",Facebook Ads,FB-100021,UA - Lookalike - 5% | iOS | EU | UGC,24832,992,443.8200,56,183.37,555.24
"2025-10-07",Facebook Ads,FB-100042,UA - Lookalike - 5% | iOS | LATAM | UGC,26510,1209,443.4600,142,383.94,1913.94
"2025-10-07",Facebook Ads,FB-100342,UA - Lookalike - 1% | Android | APAC | UGC,23024,1062,434.1500,79,279.53,874.37
"2025-10-07",Facebook Ads,FB-100293,UA - Lookalike - 1% | iOS | MENA | Playables,19162,919,432.5700,118,494.38,1992.85
"2025-10-07",Facebook Ads,FB-100196,UA - Lookalike - 1% | Android | EU | Carousel,25280,934,431.2300,70,306.49,950.43
"2025-10-07",Facebook Ads,FB-100198,UA - Lookalike - 5% | iOS | LATAM | Playables,19486,926,430.1300,34,92.02,498.84
"2025-10-07",Facebook Ads,FB-100083,UA - Lookalike - 5% | Android | LATAM | Static,36860,1352,426.6900,264,1012.26,3068.16
"2025-10-07",Facebook Ads,FB-100089,UA - Lookalike - 5% | Android | US | Carousel,20669,838,412.0400,72,287.09,1416.79
"2025-10-07",Facebook Ads,FB-100153,UA - Lookalike - 5% | Android | LATAM | Playables,28169,996,401.2900,139,482.83,2116.73
"2025-10-07",Facebook Ads,FB-100056,UA - Prospecting - Broad | Android | US | UGC,25057,1105,400.6700,73,190.7,858.91
"2025-10-07",Facebook Ads,FB-100297,UA - Lookalike - 5% | iOS | APAC | UGC,18167,877,391.7600,163,593.53,2628.74
"2025-10-07",Facebook Ads,FB-100191,UA - Lookalike - 1% | iOS | MENA | UGC,18692,837,391.2100,54,202.67,976.67
"2025-10-07",Facebook Ads,FB-100133,UA - Lookalike - 5% | Android | LATAM | Carousel,27944,1322,389.7300,191,615.52,3045.59
"2025-10-07",Facebook Ads,FB-100333,UA - Lookalike - 5% | Android | APAC | Playables,23718,1060,388.0700,129,405.56,1760.13
"2025-10-07",Facebook Ads,FB-100096,UA - Lookalike - 1% | Android | APAC | Carousel,22104,1008,386.9700,84,205.82,723.87
"2025-10-07",Facebook Ads,FB-100028,UA - Lookalike - 5% | iOS | APAC | Playables,23237,1040,386.3600,52,135.48,482.04
"2025-10-07",Facebook Ads,FB-100315,UA - Prospecting - Broad | iOS | LATAM | Carousel,27600,798,385.9100,24,91.82,484.99
"2025-10-07",Facebook Ads,FB-100091,UA - Lookalike - 1% | iOS | US | Static,29685,1053,381.4000,42,131.51,627.83
"2025-10-07",Facebook Ads,FB-100328,UA - Prospecting - Broad | iOS | US | UGC,26260,870,377.3200,102,311.32,995.91
"2025-10-07",Facebook Ads,FB-100302,UA - Lookalike - 1% | Android | MENA | Playables,23251,1002,375.0500,202,660.1,3023.26
"2025-10-07",Facebook Ads,FB-100068,UA - Lookalike - 5% | Android | MENA | Video,26548,991,374.1000,86,309.46,954.37
"2025-10-07",Facebook Ads,FB-100166,UA - Prospecting - Broad | iOS | APAC | UGC,24784,946,366.6700,150,611.97,2677.37
"2025-10-07",Facebook Ads,FB-100254,UA - Lookalike - 1% | Android | US | Video,20316,859,364.9900,72,193.76,1035.07
"2025-10-07",Facebook Ads,FB-100040,UA - Lookalike - 5% | iOS | MENA | Playables,30447,886,364.5000,113,476.08,1604.87
"2025-10-07",Facebook Ads,FB-100104,UA - Lookalike - 1% | iOS | APAC | Video,26726,771,363.9900,77,282.28,1548.87
"2025-10-07",Facebook Ads,FB-100320,UA - Lookalike - 1% | iOS | APAC | Video,22881,723,361.5000,149,655.33,2335.6
"2025-10-07",Facebook Ads,FB-100274,UA - Lookalike - 1% | iOS | US | Carousel,16562,662,358.8000,45,136.35,679.84
"2025-10-07",Facebook Ads,FB-100197,UA - Lookalike - 1% | iOS | US | UGC,26080,1117,356.8800,80,346.98,1490.28
"2025-10-07",Facebook Ads,FB-100154,UA - Lookalike - 1% | iOS | US | Playables,18714,775,353.4000,138,610.07,3317.56
"2025-10-07",Facebook Ads,FB-100061,UA - Lookalike - 5% | iOS | APAC | Carousel,23213,956,352.3800,174,559.18,2608.02
"2025-10-07",Facebook Ads,FB-100046,UA - Lookalike - 1% | Android | US | Video,22004,1050,346.4000,180,587.79,2390.54
