date,source,campaign_id,campaign_name,impressions,clicks,spend,installs
2025-10-07,Facebook Ads,FB-100000,UA - Retargeting - Value | Android | US | Carousel,18187,307,181.25,70
2025-10-07,Facebook Ads,FB-100001,UA - Prospecting - Broad | Android | EU | Video,10870,341,81.57,63
2025-10-07,Facebook Ads,FB-100002,UA - Prospecting - Broad | iOS | US | Video,25939,1040,265.1,185
2025-10-07,Facebook Ads,FB-100003,UA - Prospecting - Broad | Android | EU | Playables,20701,576,287.25,112
2025-10-07,Facebook Ads,FB-100004,UA - Retargeting - Value | Android | MENA | UGC,14075,222,60.98,45
2025-10-07,Facebook Ads,FB-100005,UA - Prospecting - Broad | iOS | MENA | Carousel,14535,534,227.8,49
2025-10-07,Facebook Ads,FB-100006,UA - Lookalike - 1% | Android | APAC | Carousel,29971,1066,302.21,54
2025-10-07,Facebook Ads,FB-100007,UA - Prospecting - Broad | Android | EU | Carousel,22451,804,276.01,63
2025-10-07,Facebook Ads,FB-100008,UA - Lookalike - 1% | Android | APAC | Video,16232,511,201.33,101
2025-10-07,Facebook Ads,FB-100009,UA - Prospecting - Broad | iOS | MENA | Carousel,20152,642,245.95,30
2025-10-07,Facebook Ads,FB-100010,UA - Lookalike - 5% | iOS | MENA | Video,27237,906,240.27,165
2025-10-07,Facebook Ads,FB-100011,UA - Lookalike - 1% | Android | MENA | Carousel,15676,478,133.27,88
2025-10-07,Facebook Ads,FB-100012,UA - Retargeting - Value | Android | US | Video,8030,108,62.9,10
2025-10-07,Facebook Ads,FB-100013,UA - Prospecting - Broad | iOS | US | Static,11628,386,118.35,33
2025-10-07,Facebook Ads,FB-100014,UA - Lookalike - 1% | iOS | LATAM | UGC,18238,496,194.13,20
2025-10-07,Facebook Ads,FB-100015,UA - Retargeting - Value | Android | LATAM | Carousel,17789,257,94.09,59
2025-10-07,Facebook Ads,FB-100016,UA - Retargeting - Value | iOS | US | Playables,4098,29,15.26,2
2025-10-07,Facebook Ads,FB-100017,UA - Lookalike - 5% | Android | EU | UGC,23882,762,217.86,130
2025-10-07,Facebook Ads,FB-100018,UA - Lookalike - 1% | iOS | MENA | Static,13523,332,74.73,14
2025-10-07,Facebook Ads,FB-100019,UA - Lookalike - 1% | Android | EU | Video,14151,421,158.25,75
2025-10-07,Facebook Ads,FB-100020,UA - Retargeting - Value | iOS | LATAM | Video,5091,61,22.77,13
2025-10-07,Facebook Ads,FB-100021,UA - Lookalike - 5% | iOS | EU | UGC,24832,992,443.82,59
2025-10-07,Facebook Ads,FB-100022,UA - Retargeting - Value | iOS | EU | Carousel,8211,168,100.26,19
2025-10-07,Facebook Ads,FB-100023,UA - Lookalike - 1% | Android | MENA | Playables,19945,837,155.18,169
2025-10-07,Facebook Ads,FB-100024,UA - Lookalike - 1% | iOS | MENA | UGC,16495,640,223.23,74
2025-10-07,Facebook Ads,FB-100025,UA - Lookalike - 5% | Android | EU | Playables,51086,1262,545.18,254
2025-10-07,Facebook Ads,FB-100026,UA - Retargeting - Value | Android | US | Video,25180,135,42.36,20
2025-10-07,Facebook Ads,FB-100027,UA - Prospecting - Broad | Android | APAC | Playables,18203,292,114.14,47
2025-10-07,Facebook Ads,FB-100028,UA - Lookalike - 5% | iOS | APAC | Playables,23237,1040,386.36,52
2025-10-07,Facebook Ads,FB-100029,UA - Prospecting - Broad | iOS | MENA | Video,13874,422,90.22,37
2025-10-07,Facebook Ads,FB-100030,UA - Lookalike - 1% | iOS | LATAM | Video,16860,568,176.48,45
2025-10-07,Facebook Ads,FB-100031,UA - Prospecting - Broad | iOS | EU | UGC,18600,484,262.13,91
2025-10-07,Facebook Ads,FB-100032,UA - Prospecting - Broad | iOS | MENA | Static,17150,736,152.5,82
2025-10-07,Facebook Ads,FB-100033,UA - Retargeting - Value | iOS | MENA | Playables,9362,140,73.88,18
2025-10-07,Facebook Ads,FB-100034,UA - Prospecting - Broad | Android | LATAM | Static,25883,1134,501.0,72
2025-10-07,Facebook Ads,FB-100035,UA - Prospecting - Broad | iOS | APAC | Video,15586,629,203.73,108
2025-10-07,Facebook Ads,FB-100036,UA - Prospecting - Broad | iOS | LATAM | Static,9844,264,99.69,8
2025-10-07,Facebook Ads,FB-100037,UA - Prospecting - Broad | Android | MENA | Video,17697,717,306.73,76
2025-10-07,Facebook Ads,FB-100038,UA - Retargeting - Value | iOS | US | Playables,12362,112,65.07,9
2025-10-07,Facebook Ads,FB-100039,UA - Retargeting - Value | Android | APAC | Playables,29035,250,89.38,55
2025-10-07,Facebook Ads,FB-100040,UA - Lookalike - 5% | iOS | MENA | Playables,30447,886,364.5,117
2025-10-07,Facebook Ads,FB-100041,UA - Lookalike - 1% | Android | MENA | Static,27872,1152,507.46,135
2025-10-07,Facebook Ads,FB-100042,UA - Lookalike - 5% | iOS | LATAM | UGC,26510,1209,443.46,149
2025-10-07,Facebook Ads,FB-100043,UA - Prospecting - Broad | Android | EU | Static,38721,721,157.54,124
2025-10-07,Facebook Ads,FB-100044,UA - Retargeting - Value | iOS | US | Playables,8224,61,32.07,13
2025-10-07,Facebook Ads,FB-100045,UA - Prospecting - Broad | Android | US | Video,8425,289,127.97,16
