date,source,campaign_id,campaign_name,impressions,clicks,spend,installs
2025-10-07,Google Ads,GG-200000,Search - Brand - Exact | iOS | US | Carousel,7247,323,170.38,62
2025-10-07,Google Ads,GG-200001,UAC - Value | Android | US | Static,32841,1503,674.55,301
2025-10-07,Google Ads,GG-200002,Search - Non-Brand - Broad | iOS | MENA | Playables,4187,150,41.45,25
2025-10-07,Google Ads,GG-200003,UAC - Value | iOS | LATAM | Carousel,9908,325,196.4,50
2025-10-07,Google Ads,GG-200004,Search - Brand - Exact | iOS | LATAM | Playables,7403,310,123.78,58
2025-10-07,Google Ads,GG-200005,Search - Brand - Exact | iOS | US | Carousel,7697,198,66.43,25
2025-10-07,Google Ads,GG-200006,Search - Non-Brand - Broad | iOS | LATAM | Carousel,7686,164,58.2,30
2025-10-07,Google Ads,GG-200007,Search - Non-Brand - Broad | iOS | US | Playables,7929,219,70.17,22
2025-10-07,Google Ads,GG-200008,Search - Non-Brand - Broad | iOS | LATAM | UGC,8457,313,168.39,59
2025-10-07,Google Ads,GG-200009,UAC - Value | Android | LATAM | Playables,22780,783,346.4,106
2025-10-07,Google Ads,GG-200010,Search - Brand - Exact | iOS | EU | Playables,16507,559,304.21,116
2025-10-07,Google Ads,GG-200011,Search - Brand - Exact | iOS | MENA | Carousel,5771,232,96.65,12
2025-10-07,Google Ads,GG-200012,Search - Non-Brand - Broad | iOS | LATAM | Static,10458,256,128.56,27
2025-10-07,Google Ads,GG-200013,Search - Non-Brand - Broad | iOS | APAC | Static,8903,339,103.8,23
2025-10-07,Google Ads,GG-200014,UAC - Installs | Android | EU | Video,15672,354,217.04,68
2025-10-07,Google Ads,GG-200015,Search - Brand - Exact | Android | MENA | Playables,8552,215,67.14,16
2025-10-07,Google Ads,GG-200016,UAC - Value | iOS | MENA | Static,19035,468,211.54,89
2025-10-07,Google Ads,GG-200017,Search - Non-Brand - Broad | Android | EU | Static,5432,234,65.4,55
2025-10-07,Google Ads,GG-200018,UAC - Installs | iOS | US | UGC,21191,973,423.06,158
2025-10-07,Google Ads,GG-200019,UAC - Installs | Android | APAC | Playables,18180,545,308.91,80
2025-10-07,Google Ads,GG-200020,Search - Non-Brand - Broad | iOS | EU | Playables,10353,272,97.97,26
2025-10-07,Google Ads,GG-200021,UAC - Installs | iOS | APAC | Static,9182,258,102.48,33
2025-10-07,Google Ads,GG-200022,UAC - Value | iOS | APAC | Carousel,9873,277,175.34,68
2025-10-07,Google Ads,GG-200023,Search - Non-Brand - Broad | iOS | EU | Static,8970,419,193.66,24
2025-10-07,Google Ads,GG-200024,UAC - Installs | iOS | US | UGC,13538,429,262.29,112
2025-10-07,Google Ads,GG-200025,UAC - Installs | Android | MENA | Video,18553,568,227.03,92
2025-10-07,Google Ads,GG-200026,UAC - Value | Android | EU | Carousel,28443,1053,397.93,280
2025-10-07,Google Ads,GG-200027,Search - Non-Brand - Broad | Android | APAC | Video,8486,333,143.16,49
2025-10-07,Google Ads,GG-200028,UAC - Value | iOS | LATAM | Video,14868,379,236.95,62
2025-10-07,Google Ads,GG-200029,UAC - Installs | Android | APAC | Playables,23421,514,171.62,108
2025-10-07,Google Ads,GG-200030,UAC - Installs | Android | APAC | Video,11584,372,191.32,55
2025-10-07,Google Ads,GG-200031,Search - Brand - Exact | Android | US | Carousel,9276,313,133.71,34
2025-10-07,Google Ads,GG-200032,Search - Brand - Exact | iOS | EU | Static,12547,512,219.8,110
2025-10-07,Google Ads,GG-200033,UAC - Value | iOS | APAC | Static,16652,419,230.83,98
2025-10-07,Google Ads,GG-200034,Search - Brand - Exact | iOS | MENA | Video,7806,178,68.28,18
2025-10-07,Google Ads,GG-200035,Search - Non-Brand - Broad | Android | LATAM | Static,9390,355,158.33,44
2025-10-07,Google Ads,GG-200036,Search - Non-Brand - Broad | iOS | US | Carousel,13561,578,313.85,103
2025-10-07,Google Ads,GG-200037,Search - Non-Brand - Broad | iOS | US | Video,14356,552,239.62,46
2025-10-07,Google Ads,GG-200038,Search - Brand - Exact | iOS | MENA | UGC,7206,346,160.99,71
2025-10-07,Google Ads,GG-200039,Search - Brand - Exact | Android | APAC | Playables,5516,194,88.13,41
2025-10-07,Google Ads,GG-200040,UAC - Value | Android | EU | Carousel,26309,1298,497.0,231
2025-10-07,Google Ads,GG-200041,Search - Non-Brand - Broad | Android | MENA | Carousel,11227,435,179.87,60
2025-10-07,Google Ads,GG-200042,UAC - Installs | iOS | EU | Video,20128,911,462.88,164
2025-10-07,Google Ads,GG-200043,Search - Brand - Exact | Android | MENA | Playables,15763,320,126.24,30
2025-10-07,Google Ads,GG-200044,UAC - Value | iOS | APAC | Video,17135,756,459.65,198
2025-10-07,Google Ads,GG-200045,UAC - Installs | iOS | LATAM | Video,17449,586,279.64,146
2025-10-07,Google Ads,GG-200046,Search - Brand - Exact | Android | LATAM | Static,16887,708,292.83,81
2025-10-07,Google Ads,GG-200047,UAC - Installs | iOS | EU | Video,15413,325,177.12,56
2025-10-07,Google Ads,GG-200048,UAC - Value | iOS | EU | UGC,14338,656,410.13,103
2025-10-07,Google Ads,GG-200049,UAC - Value | Android | EU | Video,10988,300,161.76,72
2025-10-07,Google Ads,GG-200050,Search - Brand - Exact | Android | LATAM | Static,7336,345,124.37,24
2025-10-07,Google Ads,GG-200051,UAC - Installs | Android | US | Carousel,13330,399,181.9,118
2025-10-07,Google Ads,GG-200052,UAC - Installs | iOS | MENA | UGC,11850,516,220.9,111
2025-10-07,Google Ads,GG-200053,UAC - Installs | Android | EU | Carousel,14152,406,231.91,54
