"ad_date","source","campaign_id","campaign_name","total_impressions","total_clicks","total_spend","total_installs","total_d1_revenue","total_d7_revenue"
"2025-10-06",Facebook Ads,FB-100237,UA - Lookalike - 5% | iOS | US | Video,28744,1400,1412.3200,127,39.94,158.24
"2025-10-06",Facebook Ads,FB-100231,UA - Lookalike - 5% | iOS | US | Static,26020,1220,1240.9800,132,24.51,92.57
"2025-10-06",Facebook Ads,FB-100304,UA - Lookalike - 1% | Android | LATAM | Playables,26709,1333,1176.5100,238,17.25,52.85
"2025-10-06",Facebook Ads,FB-100192,UA - Lookalike - 1% | Android | EU | Carousel,33661,1311,1163.6400,199,24.52,55.73
"2025-10-06",Facebook Ads,FB-100150,UA - Lookalike - 5% | Android | LATAM | Playables,34062,1611,1152.0300,132,10.02,35.22
"2025-10-06",Facebook Ads,FB-100163,UA - Lookalike - 1% | iOS | LATAM | Carousel,35002,1317,1110.3600,84,9.95,30.83
"2025-10-06",Facebook Ads,FB-100025,UA - Lookalike - 5% | Android | EU | Playables,51086,1262,1090.3700,258,25.49,93.85
"2025-10-06",Facebook Ads,FB-100055,UA - Lookalike - 5% | iOS | EU | Carousel,30220,1140,1051.1900,102,12.8,52.44
"2025-10-06",Facebook Ads,FB-100217,UA - Lookalike - 5% | Android | EU | Video,36352,1342,1029.4500,289,34.94,115.44
"2025-10-06",Facebook Ads,FB-100041,UA - Lookalike - 1% | Android | MENA | Static,27872,1152,1014.9100,128,15.96,61.29
"2025-10-06",Facebook Ads,FB-100034,UA - Prospecting - Broad | Android | LATAM | Static,25883,1134,1001.8900,70,4.27,11.37
"2025-10-06",Facebook Ads,FB-100169,UA - Lookalike - 1% | iOS | MENA | Playables,25772,1250,963.7500,138,35.6,124.56
"2025-10-06",Facebook Ads,FB-100339,UA - Prospecting - Broad | Android | MENA | Static,27396,1147,960.6100,208,27.25,95.29
"2025-10-06",Facebook Ads,FB-100115,UA - Prospecting - Broad | Android | EU | UGC,23607,1026,959.5200,173,12.89,28.46
"2025-10-06",Facebook Ads,FB-100253,UA - Lookalike - 1% | Android | EU | Playables,31658,1343,957.0200,163,46.23,113.26
"2025-10-06",Facebook Ads,FB-100346,UA - Lookalike - 5% | Android | US | Playables,40810,1156,898.4400,211,24.52,56.64
"2025-10-06",Facebook Ads,FB-100313,UA - Lookalike - 5% | Android | MENA | Static,33528,1425,896.7500,232,51.92,183.64
"2025-10-06",Facebook Ads,FB-100021,UA - Lookalike - 5% | iOS | EU | UGC,24832,992,887.6400,56,6.96,15.47
"2025-10-06",Facebook Ads,FB-100042,UA - Lookalike - 5% | iOS | LATAM | UGC,26510,1209,886.9200,142,13.56,51.37
"2025-10-06",Facebook Ads,FB-100342,UA - Lookalike - 1% | Android | APAC | UGC,23024,1062,868.2900,79,19.14,44.08
"2025-10-06",Facebook Ads,FB-100293,UA - Lookalike - 1% | iOS | MENA | Playables,19162,919,865.2400,118,33.18,100.37
"2025-10-06",Facebook Ads,FB-100196,UA - Lookalike - 1% | Android | EU | Carousel,25280,934,862.3600,70,21.34,48.68
"2025-10-06",Facebook Ads,FB-100198,UA - Lookalike - 5% | iOS | LATAM | Playables,19486,926,860.1600,34,3.26,13.49
"2025-10-06",Facebook Ads,FB-100083,UA - Lookalike - 5% | Android | LATAM | Static,36860,1352,853.3800,264,73.74,164.07
"2025-10-06",Facebook Ads,FB-100089,UA - Lookalike - 5% | Android | US | Carousel,20669,838,824.1700,72,18.42,69.04
"2025-10-06",Facebook Ads,FB-100153,UA - Lookalike - 5% | Android | LATAM | Playables,28169,996,802.5800,139,32.55,107.64
"2025-10-06",Facebook Ads,FB-100056,UA - Prospecting - Broad | Android | US | UGC,25057,1105,801.4600,73,6.13,20.86
"2025-10-06",Facebook Ads,FB-100297,UA - Lookalike - 5% | iOS | APAC | UGC,18167,877,783.5100,163,34.67,115.9
"2025-10-06",Facebook Ads,FB-100191,UA - Lookalike - 1% | iOS | MENA | UGC,18692,837,782.4300,54,12.24,44.74
